         46737219 function calls (46211385 primitive calls) in 631.357 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 :1(<module>)
        1    0.000    0.000    0.000    0.000 :1(CallInfoAttributes)
        1    0.000    0.000    0.000    0.000 :1(ExceptionInfoAttributes)
        1    0.000    0.000    0.000    0.000 :1(FactoryAttributes)
        1    0.000    0.000    0.000    0.000 :1(FixtureFunctionMarkerAttributes)
        1    0.000    0.000    0.000    0.000 :1(FormattedExcinfoAttributes)
        1    0.000    0.000    0.000    0.000 :1(FuncFixtureInfoAttributes)
        1    0.000    0.000    0.000    0.000 :1(MarkAttributes)
        1    0.000    0.000    0.000    0.000 :1(MarkDecoratorAttributes)
        1    0.000    0.000    0.000    0.000 :1(MarkMappingAttributes)
        1    0.000    0.000    0.000    0.000 :1(NodeMarkersAttributes)
        1    0.000    0.000    0.000    0.000 :1(PseudoFixtureDefAttributes)
        1    0.000    0.000    0.000    0.000 :1(UnformattedWarningAttributes)
        1    0.000    0.000    0.000    0.000 :1(_AndValidatorAttributes)
        1    0.000    0.000    0.000    0.000 :1(_AttributesAttributes)
        1    0.000    0.000    0.000    0.000 :1(_InValidatorAttributes)
        1    0.000    0.000    0.000    0.000 :1(_InstanceOfValidatorAttributes)
        1    0.000    0.000    0.000    0.000 :1(_OptionalValidatorAttributes)
        1    0.000    0.000    0.000    0.000 :1(_ProvidesValidatorAttributes)
        1    0.000    0.000    0.000    0.000 :1(_bestrelpath_cacheAttributes)
        1    0.000    0.000    0.000    0.000 <attrs generated eq 0d949fa95392a0e0b0ffada2582fd4570007f46d>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq 1712966da775d03255f93aa023a4fb82294e9766>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq 2eb07b25ccc30724183aad20b0d1632b26d5830f>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq 32a494bc188b1edae7278e01a511bafeffb7379d>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq 3d863863c14519f76bdc377efeb60345dcf58141>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq 5fed9d995365fcb89e23a10183dca2a13b0fe5c8>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq 7fa391520e2e52d4103c11603e76f86aa306477c>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq 83d2edee681e4337fb4d1126047ced8d76062497>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq 8c2abca92b7c032e89d591a1648e2ca708dc3bb8>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq 8f19d8e518b09081eea4ef3b013e585a96b100ab>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq 9ca99882f664fc2e90451dc3f84bae5f1d4151a5>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq a399a8703f2fff692d681e2eda974951c2afaf88>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq a811577e60d2eaaa10211eb41e0a6fedb52abe68>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq a9dc62c45b46fbbefc1452e7034540b701b67bb1>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq b9b268420a0b58f8553085e39bd4957d7a53a5cd>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq d0953f964870ab554a805e987336f5985e203bd6>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq e4e07013de18f7483a7b878bce2cd22feb18a4ae>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq f10b48ea215e424ff54532495f44e5006311a87c>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated eq fb4841184fb26533fbf9786763245f58510a261d>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated hash 07eeb15f57bfd99ed84eed207b4cba71f54cf707>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated hash 4c25af4e7b257c923c84f6bf45a709c5074d9926>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated hash 67b25038e680ef761ef830f2c8244b3d344fbc7a>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated hash 721710629083a64c3662d4daaf5060d3ee971e8e>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated hash 7288a60464b4b0a65c9147ce89d9e15ce0fefe55>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated hash 92417a049d37a6fea493f85d87f6f687aad25b1e>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated hash ac16c9c836cdc161a8948f5ac27bc25afb424825>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated hash ca2ef1c89a6346315d46e580b72cce5e687ecf21>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated hash cc4b13edca4b177fd341543b2441b92837341b8e>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated hash f6c65a6e64121ccdb2b86c94c4307d4d22c02927>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init 0d949fa95392a0e0b0ffada2582fd4570007f46d>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init 1712966da775d03255f93aa023a4fb82294e9766>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init 2eb07b25ccc30724183aad20b0d1632b26d5830f>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init 32a494bc188b1edae7278e01a511bafeffb7379d>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init 3d863863c14519f76bdc377efeb60345dcf58141>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init 5fed9d995365fcb89e23a10183dca2a13b0fe5c8>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init 7fa391520e2e52d4103c11603e76f86aa306477c>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init 83d2edee681e4337fb4d1126047ced8d76062497>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init 8c2abca92b7c032e89d591a1648e2ca708dc3bb8>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init 8f19d8e518b09081eea4ef3b013e585a96b100ab>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init a399a8703f2fff692d681e2eda974951c2afaf88>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init b9b268420a0b58f8553085e39bd4957d7a53a5cd>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init b9b268420a0b58f8553085e39bd4957d7a53a5cd>:1(__init__)
        1    0.000    0.000    0.000    0.000 <attrs generated init d0953f964870ab554a805e987336f5985e203bd6>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init e4e07013de18f7483a7b878bce2cd22feb18a4ae>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init eb5d8adbbf5f871aa167444e64e671a577fa02a3>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init f10b48ea215e424ff54532495f44e5006311a87c>:1(<module>)
        3    0.000    0.000    0.000    0.000 <attrs generated init f10b48ea215e424ff54532495f44e5006311a87c>:1(__init__)
        1    0.000    0.000    0.000    0.000 <attrs generated init fb4841184fb26533fbf9786763245f58510a261d>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-0>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-10>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-1>:1(<module>)
        3    0.000    0.000    0.001    0.000 <decorator-gen-1>:1(_held_figure)
        1    0.000    0.000    0.000    0.000 <decorator-gen-2>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-3>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-4>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-5>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-6>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-7>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-8>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-9>:1(<module>)
     5721    0.022    0.000    0.025    0.000 <frozen importlib._bootstrap>:103(release)
     3543    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:143(__init__)
     3543    0.008    0.000    0.069    0.000 <frozen importlib._bootstrap>:147(__enter__)
     3543    0.005    0.000    0.024    0.000 <frozen importlib._bootstrap>:151(__exit__)
